MonthYear,Brent
2011-09,112.83
2011-10,109.55
2011-11,110.77
2011-12,107.87
2012-01,110.69
2012-02,119.33
2012-03,125.45
2012-04,119.75
2012-05,110.34
2012-06,95.16
2012-07,102.62
2012-08,113.36
2012-09,112.86
2012-10,111.71
2012-11,109.06
2012-12,109.49
2013-01,112.96
2013-02,116.05
2013-03,108.47
2013-04,102.25
2013-05,102.56
2013-06,102.92
2013-07,107.93
2013-08,111.28
2013-09,111.6
2013-10,109.08
2013-11,107.79
2013-12,110.76
2014-01,108.12
2014-02,108.9
2014-03,107.48
2014-04,107.76
2014-05,109.54
2014-06,111.8
2014-07,106.77
2014-08,101.61
2014-09,97.09
2014-10,87.43
2014-11,79.44
2014-12,62.34
2015-01,47.76
2015-02,58.1
2015-03,55.89
2015-04,59.52
2015-05,64.08
2015-06,61.48
2015-07,56.56
2015-08,46.52
2015-09,47.62
2015-10,48.43
2015-11,44.27
2015-12,38.01
2016-01,30.7
2016-02,32.18
2016-03,38.21
2016-04,41.58
2016-05,46.74
2016-06,48.25
2016-07,44.95
2016-08,45.84
2016-09,46.57
2016-10,49.52
2016-11,44.73
2016-12,53.31
2017-01,54.58
2017-02,54.87
2017-03,51.59
2017-04,52.31
2017-05,50.33
2017-06,46.37
2017-07,48.48
2017-08,51.7
2017-09,56.15
2017-10,57.51
2017-11,62.71
2017-12,64.37
2018-01,69.08
2018-02,65.32
2018-03,66.02
2018-04,72.11
2018-05,76.98
2018-06,74.41
2018-07,74.25
2018-08,72.53
2018-09,78.89
2018-10,81.03
2018-11,64.75
2018-12,57.36
2019-01,59.41
2019-02,63.96
2019-03,66.14
2019-04,71.23
2019-05,71.32
2019-06,64.22
2019-07,63.92
2019-08,59.04
2019-09,62.83
2019-10,59.71
2019-11,63.21
2019-12,67.31
2020-01,63.65
2020-02,55.66
2020-03,32.01
2020-04,18.38
2020-05,29.38
2020-06,40.27
2020-07,43.24
2020-08,44.74
2020-09,40.91
2020-10,40.19
2020-11,42.69
2020-12,49.99
2021-01,54.77
2021-02,62.28
2021-03,65.41
2021-04,64.81
2021-05,68.53
2021-06,73.16
2021-07,75.17
2021-08,70.75
2021-09,74.49
2021-10,83.54
2021-11,81.05
2021-12,74.17
2022-01,86.51
2022-02,97.13
2022-03,117.25
2022-04,104.58
2022-05,113.34
2022-06,122.71
2022-07,111.93
2022-08,100.45
2022-09,89.76
2022-10,93.33
2022-11,91.42
2022-12,80.92
2023-01,82.5
2023-02,82.59
2023-03,78.43
2023-04,84.64
2023-05,75.47
2023-06,74.84
2023-07,80.11
2023-08,86.15
2023-09,93.72
2023-10,90.6
2023-11,82.94
2023-12,77.63
2024-01,80.12
2024-02,83.48
2024-03,85.41
2024-04,89.94
2024-05,81.75
2024-06,82.25
2024-07,85.15
2024-08,80.36
2024-09,74.02
2024-10,75.63
2024-11,74.35
2024-12,73.86
