MonthYear,Year,Month,CPI
2012-01,2012,M01,100.66
2012-02,2012,M02,100.23
2012-03,2012,M03,101.08
2012-04,2012,M04,102.67
2012-05,2012,M05,101.32
2012-06,2012,M06,98.36
2012-07,2012,M07,97.29
2012-08,2012,M08,101.07
2012-09,2012,M09,103.83
2012-10,2012,M10,100.61
2012-11,2012,M11,100.03
2012-12,2012,M12,99.57
2013-01,2013,M01,100.03
2013-02,2013,M02,100.81
2013-03,2013,M03,99.75
2013-04,2013,M04,101.2
2013-05,2013,M05,99.43
2013-06,2013,M06,99.91
2013-07,2013,M07,101.34
2013-08,2013,M08,101.11
2013-09,2013,M09,99.76
2013-10,2013,M10,99.83
2013-11,2013,M11,99.66
2013-12,2013,M12,99.77
2014-01,2014,M01,101.22
2014-02,2014,M02,100.66
2014-03,2014,M03,99.97
2014-04,2014,M04,100.33
2014-05,2014,M05,100.36
2014-06,2014,M06,100.18
2014-07,2014,M07,100.44
2014-08,2014,M08,99.94
2014-09,2014,M09,98.15
2014-10,2014,M10,98.98
2014-11,2014,M11,97.25
2014-12,2014,M12,96.91
2015-01,2015,M01,96.04
2015-02,2015,M02,95.59
2015-03,2015,M03,99.69
2015-04,2015,M04,102.47
2015-05,2015,M05,101.02
2015-06,2015,M06,103.54
2015-07,2015,M07,100.16
2015-08,2015,M08,97.88
2015-09,2015,M09,96.83
2015-10,2015,M10,99.95
2015-11,2015,M11,99.62
2015-12,2015,M12,98.43
2016-01,2016,M01,97.18
2016-02,2016,M02,96.04
2016-03,2016,M03,96.36
2016-04,2016,M04,101.73
2016-05,2016,M05,102.39
2016-06,2016,M06,102.99
2016-07,2016,M07,101.19
2016-08,2016,M08,98.03
2016-09,2016,M09,100.55
2016-10,2016,M10,102.02
2016-11,2016,M11,101.63
2016-12,2016,M12,99.11
2017-01,2017,M01,103.21
2017-02,2017,M02,100.56
2017-03,2017,M03,100.39
2017-04,2017,M04,98.62
2017-05,2017,M05,99.66
2017-06,2017,M06,99.29
2017-07,2017,M07,98.48
2017-08,2017,M08,102.13
2017-09,2017,M09,101.51
2017-10,2017,M10,100.61
2017-11,2017,M11,100.68
2017-12,2017,M12,100.84
2018-01,2018,M01,101.17
2018-02,2018,M02,100.79
2018-03,2018,M03,99.23
2018-04,2018,M04,101.18
2018-05,2018,M05,101.72
2018-06,2018,M06,101.04
2018-07,2018,M07,99.48
2018-08,2018,M08,100.13
2018-09,2018,M09,100.82
2018-10,2018,M10,101.55
2018-11,2018,M11,98.19
2018-12,2018,M12,95.12
2019-01,2019,M01,96.96
2019-02,2019,M02,100.16
2019-03,2019,M03,102.22
2019-04,2019,M04,104.29
2019-05,2019,M05,102.64
2019-06,2019,M06,98.27
2019-07,2019,M07,99.97
2019-08,2019,M08,99.54
2019-09,2019,M09,98.76
2019-10,2019,M10,100.99
2019-11,2019,M11,99.27
2019-12,2019,M12,100.61
2020-01,2020,M01,100.69
2020-02,2020,M02,97.5
2020-03,2020,M03,95.13
2020-04,2020,M04,86.14
2020-05,2020,M05,97.79
2020-06,2020,M06,106.05
2020-07,2020,M07,103.91
2020-08,2020,M08,100.1
2020-09,2020,M09,99.88
2020-10,2020,M10,99.92
2020-11,2020,M11,99.53
2020-12,2020,M12,102.45
2021-01,2021,M01,102.29
2021-02,2021,M02,101.55
2021-03,2021,M03,102.29
2021-04,2021,M04,100.87
2021-05,2021,M05,100.76
2021-06,2021,M06,101.07
2021-07,2021,M07,102.36
2021-08,2021,M08,99.94
2021-09,2021,M09,99.84
2021-10,2021,M10,102.51
2021-11,2021,M11,103.11
2021-12,2021,M12,98.29
2022-01,2022,M01,101.18
2022-02,2022,M02,102.35
2022-03,2022,M03,104.8
2022-04,2022,M04,99.41
2022-05,2022,M05,102.34
2022-06,2022,M06,103.62
2022-07,2022,M07,97.15
2022-08,2022,M08,94.49
2022-09,2022,M09,97.77
2022-10,2022,M10,97.83
2022-11,2022,M11,102.23
2022-12,2022,M12,97.22
2023-01,2023,M01,101.39
2023-02,2023,M02,102.11
2023-03,2023,M03,99.84
2023-04,2023,M04,100.43
2023-05,2023,M05,97.02
2023-06,2023,M06,100.16
2023-07,2023,M07,100.11
2023-08,2023,M08,103.85
2023-09,2023,M09,101.21
2023-10,2023,M10,98.49
2023-11,2023,M11,99.99
2023-12,2023,M12,98.12
2024-01,2024,M01,100.41
2024-02,2024,M02,103.09
2024-03,2024,M03,99.97
2024-04,2024,M04,101.95
2024-05,2024,M05,98.27
2024-06,2024,M06,97.73
2024-07,2024,M07,101.45
2024-08,2024,M08,98.02
2024-09,2024,M09,97.23
2024-10,2024,M10,100.66
2024-11,2024,M11,99.93
2024-12,2024,M12,100.57
