MonthYear,CPI
2011-01,
2011-02,
2011-03,
2011-04,
2011-05,
2011-06,
2011-07,
2011-08,
2011-09,
2011-10,
2011-11,-0.01
2011-12,0.16
2012-01,0.66
2012-02,0.23
2012-03,1.08
2012-04,2.67
2012-05,1.32
2012-06,-1.64
2012-07,-2.71
2012-08,1.07
2012-09,3.83
2012-10,0.61
2012-11,0.03
2012-12,-0.43
2013-01,0.03
2013-02,0.81
2013-03,-0.25
2013-04,1.2
2013-05,-0.57
2013-06,-0.09
2013-07,1.34
2013-08,1.11
2013-09,-0.24
2013-10,-0.17
2013-11,-0.34
2013-12,-0.23
2014-01,1.22
2014-02,0.66
2014-03,-0.03
2014-04,0.33
2014-05,0.36
2014-06,0.18
2014-07,0.44
2014-08,-0.06
2014-09,-1.85
2014-10,-1.02
2014-11,-2.75
2014-12,-3.09
2015-01,-3.96
2015-02,-4.41
2015-03,-0.31
2015-04,2.47
2015-05,1.02
2015-06,3.54
2015-07,0.16
2015-08,-2.12
2015-09,-3.17
2015-10,-0.05
2015-11,-0.38
2015-12,-1.57
2016-01,-2.82
2016-02,-3.96
2016-03,-3.64
2016-04,1.73
2016-05,2.39
2016-06,2.99
2016-07,1.19
2016-08,-1.97
2016-09,0.55
2016-10,2.02
2016-11,1.63
2016-12,-0.89
2017-01,3.21
2017-02,0.56
2017-03,0.39
2017-04,-1.38
2017-05,-0.34
2017-06,-0.71
2017-07,-1.52
2017-08,2.13
2017-09,1.51
2017-10,0.61
2017-11,0.68
2017-12,0.84
2018-01,1.17
2018-02,0.79
2018-03,-0.77
2018-04,1.18
2018-05,1.72
2018-06,1.04
2018-07,-0.52
2018-08,0.13
2018-09,0.82
2018-10,1.55
2018-11,-1.81
2018-12,-4.88
2019-01,-3.04
2019-02,0.16
2019-03,2.22
2019-04,4.29
2019-05,2.64
2019-06,-1.73
2019-07,-0.03
2019-08,-0.46
2019-09,-1.24
2019-10,0.99
2019-11,-0.73
2019-12,0.61
2020-01,0.69
2020-02,-2.5
2020-03,-4.87
2020-04,-13.86
2020-05,-2.21
2020-06,6.05
2020-07,3.91
2020-08,0.1
2020-09,-0.12
2020-10,-0.08
2020-11,-0.47
2020-12,2.45
2021-01,2.29
2021-02,1.55
2021-03,2.29
2021-04,0.87
2021-05,0.76
2021-06,1.07
2021-07,2.36
2021-08,-0.06
2021-09,-0.16
2021-10,2.51
2021-11,3.11
2021-12,-1.71
2022-01,1.18
2022-02,2.35
2022-03,4.8
2022-04,-0.59
2022-05,2.34
2022-06,3.62
2022-07,-2.85
2022-08,-5.51
2022-09,-2.23
2022-10,-2.17
2022-11,2.23
2022-12,-2.78
2023-01,1.39
2023-02,2.11
2023-03,-0.16
2023-04,0.43
2023-05,-2.98
2023-06,0.16
2023-07,0.11
2023-08,3.85
2023-09,1.21
2023-10,-1.51
2023-11,-0.01
2023-12,-1.88
2024-01,0.41
2024-02,3.09
2024-03,-0.03
2024-04,1.95
2024-05,-1.73
2024-06,-2.27
2024-07,1.45
2024-08,-1.98
2024-09,-2.77
2024-10,0.66
2024-11,-0.07
2024-12,0.57
