ngay,mat_hang_clean,gia_moi
2012-01-01,Xăng RON 95,21800.0
2012-01-01,"Dầu DO 0,05S",21100.0
2012-03-07,Xăng RON 95,23400.0
2012-03-07,"Dầu DO 0,05S",21400.0
2012-05-09,Xăng RON 95,23800.0
2012-05-09,"Dầu DO 0,05S",21600.0
2012-05-23,Xăng RON 95,23200.0
2012-05-23,"Dầu DO 0,05S",21200.0
2012-06-07,Xăng RON 95,22400.0
2012-06-07,"Dầu DO 0,05S",20500.0
2012-06-21,"Dầu DO 0,05S",20100.0
2012-06-21,Xăng RON 95,21700.0
2012-07-02,Xăng RON 95,21100.0
2012-07-02,"Dầu DO 0,05S",19900.0
2012-07-20,Xăng RON 95,21500.0
2012-07-20,"Dầu DO 0,05S",20300.0
2012-08-01,"Dầu DO 0,05S",20800.0
2012-08-01,"Điêzen 0,25S",20750.0
2012-08-01,Xăng RON 95,22400.0
2012-08-01,Xăng RON 92,21900.0
2012-08-01,Mazút No3 (380),18050.0
2012-08-01,"Mazút No2B (3,5S)",18150.0
2012-08-01,"Mazút No2B (3,0S)",18450.0
2012-08-01,Dầu hỏa,20650.0
2012-08-13,"Mazút No2B (3,0S)",18950.0
2012-08-13,Xăng RON 92,23000.0
2012-08-13,Dầu hỏa,21450.0
2012-08-13,Mazút No3 (380),18550.0
2012-08-13,"Điêzen 0,25S",21500.0
2012-08-13,Xăng RON 95,23500.0
2012-08-13,"Mazút No2B (3,5S)",18650.0
2012-08-13,"Dầu DO 0,05S",21550.0
2012-08-28,Xăng RON 92,23650.0
2012-08-28,Xăng RON 95,24150.0
2012-08-28,"Dầu DO 0,05S",21850.0
2012-08-28,"Điêzen 0,25S",21800.0
2012-08-28,"Mazút No2B (3,5S)",18650.0
2012-08-28,"Mazút No2B (3,0S)",18950.0
2012-08-28,Dầu hỏa,21900.0
2012-11-11,Mazút No3 (380),18050.0
2012-11-11,Xăng RON 92,23150.0
2012-11-11,Dầu hỏa,21900.0
