MonthYear,Diesel,RON95
2011-09,21100.0,21800.0
2011-10,20400.0,21800.0
2011-11,20400.0,21800.0
2011-12,20400.0,21800.0
2012-01,20400.0,21800.0
2012-02,20400.0,21800.0
2012-03,21206.45,23090.32
2012-04,21400.0,23400.0
2012-05,21432.26,23522.58
2012-06,20506.67,22326.67
2012-07,20061.29,21274.19
2012-08,21298.39,23158.06
2012-09,21850.0,24150.0
2012-10,21850.0,24150.0
2012-11,21850.0,23816.67
2012-12,21811.29,23650.0
2013-01,21550.0,23650.0
2013-02,21550.0,23650.0
2013-03,21550.0,23650.0
2013-04,21645.33,24340.33
2013-05,21770.0,24620.0
2013-06,21770.0,24620.0
2013-07,21770.0,24837.74
2013-08,21944.19,24973.23
2013-09,22310.0,24770.0
2013-10,22310.0,24770.0
2013-11,22310.0,24770.0
2013-12,22310.0,24742.9
2014-01,22363.23,24710.0
2014-02,22633.93,24795.71
2014-03,22791.61,25085.48
2014-04,22591.0,25253.0
2014-05,22680.0,25400.0
2014-06,22585.0,25488.0
2014-07,22655.48,26018.06
2014-08,22149.35,25170.97
2014-09,21692.0,24313.0
2014-10,20441.29,23589.68
2014-11,19167.0,22313.0
2014-12,18650.0,19920.32
2015-01,18650.0,17695.81
2015-02,18650.0,16270.0
2015-03,18650.0,17360.65
2015-04,18650.0,17880.0
2015-05,17844.52,20042.9
2015-06,16362.0,21142.0
2015-07,16360.0,20911.29
2015-08,16360.0,19656.45
2015-09,16360.0,18278.67
2015-10,16360.0,18705.81
2015-11,16360.0,17981.33
2015-12,16360.0,17342.26
2016-01,16360.0,16518.39
2016-02,16360.0,15063.1
2016-03,16360.0,14687.74
2016-04,14163.67,15120.0
2016-05,10370.0,15120.0
2016-06,10370.0,15120.0
2016-07,10370.0,15120.0
2016-08,10370.0,15120.0
2016-09,10370.0,15120.0
2016-10,10370.0,15120.0
2016-11,10370.0,15120.0
2016-12,10370.0,15120.0
2017-01,13544.52,18118.71
2017-02,14131.43,18636.43
2017-03,14200.97,18629.35
2017-04,13637.67,18219.0
2017-05,13495.48,18078.71
2017-06,13212.33,17854.67
2017-07,13077.74,17106.13
2017-08,13744.52,18050.0
2017-09,14108.33,18766.0
2017-10,14496.13,18859.03
2017-11,14736.67,19174.33
2017-12,15140.65,19480.0
2018-01,15665.48,20333.23
2018-02,15881.43,20465.71
2018-03,15710.0,20180.0
2018-04,16323.33,20596.0
2018-05,17187.74,21191.61
2018-06,17621.0,21608.0
2018-07,17390.97,21370.0
2018-08,17522.26,21329.68
2018-09,18016.67,21670.0
2018-10,18530.97,22352.9
2018-11,18248.33,21036.67
2018-12,16383.87,18735.16
2019-01,14900.0,17600.0
2019-02,14900.0,17600.0
2019-03,15829.03,18509.68
2019-04,17179.33,20540.33
2019-05,17641.29,21868.71
2019-06,17044.67,20706.0
2019-07,16954.84,20846.13
2019-08,16746.13,20641.29
2019-09,16265.0,20185.0
2019-10,16412.9,20909.35
2019-11,16002.67,20636.0
2019-12,16038.39,20975.48
2020-01,16536.13,20895.16
2020-02,15586.9,19702.76
2020-03,13648.06,17441.94
2020-04,10904.0,12152.0
2020-05,9999.68,12112.58
2020-06,11307.67,13846.67
2020-07,12146.13,14970.0
2020-08,12228.71,14968.39
2020-09,11595.0,15023.33
2020-10,11134.52,15041.29
2020-11,11056.67,14888.33
2020-12,11834.52,15881.29
2021-01,12630.32,16847.42
2021-02,13154.29,17385.71
2021-03,14175.48,18621.94
2021-04,14200.67,19021.0
2021-05,14610.32,19398.71
2021-06,15328.33,20075.0
2021-07,16355.16,21455.16
2021-08,16135.81,21573.55
2021-09,16024.0,21422.0
2021-10,17456.77,22852.58
2021-11,18644.0,24574.0
2021-12,17689.03,23230.0
2022-01,18254.84,23856.77
2022-02,19785.71,25251.43
2022-03,23407.42,28631.94
2022-04,24960.0,27844.67
2022-05,25951.94,29631.94
2022-06,28298.0,32216.67
2022-07,26946.77,29389.35
2022-08,23496.77,24963.23
2022-09,23806.0,23431.33
2022-10,23775.48,22013.55
2022-11,24950.0,23463.33
2022-12,22191.61,21554.84
2023-01,21855.16,22191.29
2023-02,21754.29,23402.86
2023-03,19977.42,23343.55
2023-04,19644.67,23657.33
2023-05,18050.65,21710.65
2023-06,18040.67,22010.0
2023-07,18781.29,21966.77
2023-08,21811.29,24196.77
2023-09,23054.67,25124.0
2023-10,22790.65,23649.68
2023-11,21141.0,23549.0
2023-12,19613.23,22178.06
2024-01,19892.9,22401.94
2024-02,20982.41,23736.55
2024-03,20694.19,23946.77
2024-04,21145.67,24941.67
2024-05,20037.74,23669.03
2024-06,19912.0,22373.67
2024-07,20673.23,23201.94
2024-08,19176.77,21784.19
2024-09,17580.33,20280.67
2024-10,18033.23,20660.97
2024-11,18567.0,20644.67
2024-12,18508.85,20730.38
