MonthYear,Brent,WTI
2012-01,110.69,100.27
2012-02,119.33,102.2
2012-03,125.45,106.16
2012-04,119.75,103.32
2012-05,110.34,94.66
2012-06,95.16,82.3
2012-07,102.62,87.9
2012-08,113.36,94.13
2012-09,112.86,94.51
2012-10,111.71,89.49
2012-11,109.06,86.53
2012-12,109.49,87.86
2013-01,112.96,94.76
2013-02,116.05,95.31
2013-03,108.47,92.94
2013-04,102.25,92.02
2013-05,102.56,94.51
2013-06,102.92,95.77
2013-07,107.93,104.67
2013-08,111.28,106.57
2013-09,111.6,106.29
2013-10,109.08,100.54
2013-11,107.79,93.86
2013-12,110.76,97.63
2014-01,108.12,94.62
2014-02,108.9,100.82
2014-03,107.48,100.8
2014-04,107.76,102.07
2014-05,109.54,102.18
2014-06,111.8,105.79
2014-07,106.77,103.59
2014-08,101.61,96.54
2014-09,97.09,93.21
2014-10,87.43,84.4
2014-11,79.44,75.79
2014-12,62.34,59.29
2015-01,47.76,47.22
2015-02,58.1,50.58
2015-03,55.89,47.82
2015-04,59.52,54.45
2015-05,64.08,59.27
2015-06,61.48,59.82
2015-07,56.56,50.9
2015-08,46.52,42.87
2015-09,47.62,45.48
2015-10,48.43,46.22
2015-11,44.27,42.44
2015-12,38.01,37.19
2016-01,30.7,31.68
2016-02,32.18,30.32
2016-03,38.21,37.55
2016-04,41.58,40.75
2016-05,46.74,46.71
2016-06,48.25,48.76
2016-07,44.95,44.65
2016-08,45.84,44.72
2016-09,46.57,45.18
2016-10,49.52,49.78
2016-11,44.73,45.66
2016-12,53.31,51.97
2017-01,54.58,52.5
2017-02,54.87,53.47
2017-03,51.59,49.33
2017-04,52.31,51.06
2017-05,50.33,48.48
2017-06,46.37,45.18
2017-07,48.48,46.63
2017-08,51.7,48.04
2017-09,56.15,49.82
2017-10,57.51,51.58
2017-11,62.71,56.64
2017-12,64.37,57.88
2018-01,69.08,63.7
2018-02,65.32,62.23
2018-03,66.02,62.73
2018-04,72.11,66.25
2018-05,76.98,69.98
2018-06,74.41,67.87
2018-07,74.25,70.98
2018-08,72.53,68.06
2018-09,78.89,70.23
2018-10,81.03,70.75
2018-11,64.75,56.96
2018-12,57.36,49.52
2019-01,59.41,51.38
2019-02,63.96,54.95
2019-03,66.14,58.15
2019-04,71.23,63.86
2019-05,71.32,60.83
2019-06,64.22,54.66
2019-07,63.92,57.35
2019-08,59.04,54.81
2019-09,62.83,56.95
2019-10,59.71,53.96
2019-11,63.21,57.03
2019-12,67.31,59.88
2020-01,63.65,57.52
2020-02,55.66,50.54
2020-03,32.01,29.21
2020-04,18.38,16.55
2020-05,29.38,28.56
2020-06,40.27,38.31
2020-07,43.24,40.71
2020-08,44.74,42.34
2020-09,40.91,39.63
2020-10,40.19,39.4
2020-11,42.69,40.94
2020-12,49.99,47.02
2021-01,54.77,52.0
2021-02,62.28,59.04
2021-03,65.41,62.33
2021-04,64.81,61.72
2021-05,68.53,65.17
2021-06,73.16,71.38
2021-07,75.17,72.49
2021-08,70.75,67.73
2021-09,74.49,71.65
2021-10,83.54,81.48
2021-11,81.05,79.15
2021-12,74.17,71.71
2022-01,86.51,83.22
2022-02,97.13,91.64
2022-03,117.25,108.5
2022-04,104.58,101.78
2022-05,113.34,109.55
2022-06,122.71,114.84
2022-07,111.93,101.62
2022-08,100.45,93.67
2022-09,89.76,84.26
2022-10,93.33,87.55
2022-11,91.42,84.37
2022-12,80.92,76.44
2023-01,82.5,78.12
2023-02,82.59,76.83
2023-03,78.43,73.28
2023-04,84.64,79.45
2023-05,75.47,71.58
2023-06,74.84,70.25
2023-07,80.11,76.07
2023-08,86.15,81.39
2023-09,93.72,89.43
2023-10,90.6,85.64
2023-11,82.94,77.69
2023-12,77.63,71.9
2024-01,80.12,74.15
2024-02,83.48,77.25
2024-03,85.41,81.28
2024-04,89.94,85.35
2024-05,81.75,80.02
2024-06,82.25,79.77
2024-07,85.15,81.8
2024-08,80.36,76.68
2024-09,74.02,70.24
2024-10,75.63,71.99
2024-11,74.35,69.95
2024-12,73.86,70.12
