MonthYear,USD_VND
2012-01,20828.0
2012-02,20828.0
2012-03,20828.0
2012-04,20828.0
2012-05,20828.0
2012-06,20828.0
2012-07,20828.0
2012-08,20828.0
2012-09,20828.0
2012-10,20828.0
2012-11,20828.0
2012-12,20828.0
2013-01,20828.0
2013-02,20828.0
2013-03,20828.0
2013-04,20828.0
2013-05,20828.0
2013-06,20846.91
2013-07,21036.0
2013-08,21036.0
2013-09,21036.0
2013-10,21036.0
2013-11,21036.0
2013-12,21036.0
2014-01,21036.0
2014-02,21036.0
2014-03,21036.0
2014-04,21036.0
2014-05,21036.0
2014-06,21127.3
2014-07,21246.0
2014-08,21246.0
2014-09,21246.0
2014-10,21246.0
2014-11,21246.0
2014-12,21246.0
2015-01,21431.5
2015-02,21458.0
2015-03,21458.0
2015-04,21458.0
2015-05,21635.61
2015-06,21673.0
2015-07,21673.0
2015-08,21764.81
2015-09,21890.0
2015-10,21890.0
2015-11,21890.0
2015-12,21890.0
2016-01,21904.48
2016-02,21888.11
2016-03,21874.78
2016-04,21853.13
2016-05,21891.12
2016-06,21876.92
2016-07,21872.67
2016-08,21859.48
2016-09,21941.96
2016-10,22002.36
2016-11,22076.75
2016-12,22138.19
2017-01,22172.35
2017-02,22220.68
2017-03,22253.52
2017-04,22320.8
2017-05,22373.04
2017-06,22416.29
2017-07,22438.19
2017-08,22442.19
2017-09,22446.26
2017-10,22464.85
2017-11,22451.04
2017-12,22437.75
2018-01,22410.65
2018-02,22439.05
2018-03,22454.44
2018-04,22489.71
2018-05,22576.29
2018-06,22600.21
2018-07,22648.46
2018-08,22679.26
2018-09,22701.05
2018-10,22719.81
2018-11,22731.17
2018-12,22785.28
2019-01,22853.46
2019-02,22904.88
2019-03,22953.0
2019-04,22996.75
2019-05,23054.75
2019-06,23060.09
2019-07,23068.54
2019-08,23114.76
2019-09,23142.41
2019-10,23154.44
2019-11,23143.46
2019-12,23162.6
2020-01,23161.16
2020-02,23217.4
2020-03,23220.5
2020-04,23241.75
2020-05,23254.37
2020-06,23238.9
2020-07,23224.68
2020-08,23210.56
2020-09,23204.44
2020-10,23197.65
2020-11,23183.3
2020-12,23146.67
2021-01,23133.8
2021-02,23138.38
2021-03,23189.24
2021-04,23206.84
2021-05,23164.71
2021-06,23137.21
2021-07,23199.16
2021-08,23163.5
2021-09,23122.88
2021-10,23160.42
2021-11,23122.48
2021-12,23190.65
2022-01,23105.25
2022-02,23117.0
2022-03,23155.8
2022-04,23108.68
2022-05,23136.53
2022-06,23078.5
2022-07,23185.7
2022-08,23185.3
2022-09,23282.17
2022-10,23553.44
2022-11,23681.72
2022-12,23650.32
2023-01,23603.8
2023-02,23629.14
2023-03,23625.52
2023-04,23612.4
2023-05,23653.5
2023-06,23714.05
2023-07,23765.32
2023-08,23867.9
2023-09,24018.11
2023-10,24084.59
2023-11,23996.1
2023-12,23927.2
2024-01,23979.5
2024-02,23969.84
2024-03,23996.65
2024-04,24131.62
2024-05,24253.4
2024-06,24251.25
2024-07,24252.25
2024-08,24251.7
2024-09,24170.39
2024-10,24189.63
2024-11,24280.47
2024-12,24273.95
