MonthYear,WTI
2012-01,100.27
2012-02,102.2
2012-03,106.16
2012-04,103.32
2012-05,94.66
2012-06,82.3
2012-07,87.9
2012-08,94.13
2012-09,94.51
2012-10,89.49
2012-11,86.53
2012-12,87.86
2013-01,94.76
2013-02,95.31
2013-03,92.94
2013-04,92.02
2013-05,94.51
2013-06,95.77
2013-07,104.67
2013-08,106.57
2013-09,106.29
2013-10,100.54
2013-11,93.86
2013-12,97.63
2014-01,94.62
2014-02,100.82
2014-03,100.8
2014-04,102.07
2014-05,102.18
2014-06,105.79
2014-07,103.59
2014-08,96.54
2014-09,93.21
2014-10,84.4
2014-11,75.79
2014-12,59.29
2015-01,47.22
2015-02,50.58
2015-03,47.82
2015-04,54.45
2015-05,59.27
2015-06,59.82
2015-07,50.9
2015-08,42.87
2015-09,45.48
2015-10,46.22
2015-11,42.44
2015-12,37.19
2016-01,31.68
2016-02,30.32
2016-03,37.55
2016-04,40.75
2016-05,46.71
2016-06,48.76
2016-07,44.65
2016-08,44.72
2016-09,45.18
2016-10,49.78
2016-11,45.66
2016-12,51.97
2017-01,52.5
2017-02,53.47
2017-03,49.33
2017-04,51.06
2017-05,48.48
2017-06,45.18
2017-07,46.63
2017-08,48.04
2017-09,49.82
2017-10,51.58
2017-11,56.64
2017-12,57.88
2018-01,63.7
2018-02,62.23
2018-03,62.73
2018-04,66.25
2018-05,69.98
2018-06,67.87
2018-07,70.98
2018-08,68.06
2018-09,70.23
2018-10,70.75
2018-11,56.96
2018-12,49.52
2019-01,51.38
2019-02,54.95
2019-03,58.15
2019-04,63.86
2019-05,60.83
2019-06,54.66
2019-07,57.35
2019-08,54.81
2019-09,56.95
2019-10,53.96
2019-11,57.03
2019-12,59.88
2020-01,57.52
2020-02,50.54
2020-03,29.21
2020-04,16.55
2020-05,28.56
2020-06,38.31
2020-07,40.71
2020-08,42.34
2020-09,39.63
2020-10,39.4
2020-11,40.94
2020-12,47.02
2021-01,52.0
2021-02,59.04
2021-03,62.33
2021-04,61.72
2021-05,65.17
2021-06,71.38
2021-07,72.49
2021-08,67.73
2021-09,71.65
2021-10,81.48
2021-11,79.15
2021-12,71.71
2022-01,83.22
2022-02,91.64
2022-03,108.5
2022-04,101.78
2022-05,109.55
2022-06,114.84
2022-07,101.62
2022-08,93.67
2022-09,84.26
2022-10,87.55
2022-11,84.37
2022-12,76.44
2023-01,78.12
2023-02,76.83
2023-03,73.28
2023-04,79.45
2023-05,71.58
2023-06,70.25
2023-07,76.07
2023-08,81.39
2023-09,89.43
2023-10,85.64
2023-11,77.69
2023-12,71.9
2024-01,74.15
2024-02,77.25
2024-03,81.28
2024-04,85.35
2024-05,80.02
2024-06,79.77
2024-07,81.8
2024-08,76.68
2024-09,70.24
2024-10,71.99
2024-11,69.95
2024-12,70.12
