MonthYear,CPI,RON95,Diesel,Brent,WTI,USD_VND,Dummy_Tet,Dummy_Covid
2011-09,,21800.0,21100.0,112.83,85.52,20628.0,0,0
2011-10,,21800.0,20400.0,109.55,86.32,20713.0,0,0
2011-11,-0.01,21800.0,20400.0,110.77,97.16,20803.0,0,0
2011-12,0.16,21800.0,20400.0,107.87,98.56,20813.6,0,0
2012-01,0.66,21800.0,20400.0,110.69,100.27,20828.0,1,0
2012-02,0.23,21800.0,20400.0,119.33,102.2,20828.0,0,0
2012-03,1.08,23090.32,21206.45,125.45,106.16,20828.0,0,0
2012-04,2.67,23400.0,21400.0,119.75,103.32,20828.0,0,0
2012-05,1.32,23522.58,21432.26,110.34,94.66,20828.0,0,0
2012-06,-1.64,22326.67,20506.67,95.16,82.3,20828.0,0,0
2012-07,-2.71,21274.19,20061.29,102.62,87.9,20828.0,0,0
2012-08,1.07,23158.06,21298.39,113.36,94.13,20828.0,0,0
2012-09,3.83,24150.0,21850.0,112.86,94.51,20828.0,0,0
2012-10,0.61,24150.0,21850.0,111.71,89.49,20828.0,0,0
2012-11,0.03,23816.67,21850.0,109.06,86.53,20828.0,0,0
2012-12,-0.43,23650.0,21811.29,109.49,87.86,20828.0,0,0
2013-01,0.03,23650.0,21550.0,112.96,94.76,20828.0,0,0
2013-02,0.81,23650.0,21550.0,116.05,95.31,20828.0,1,0
2013-03,-0.25,23650.0,21550.0,108.47,92.94,20828.0,0,0
2013-04,1.2,24340.33,21645.33,102.25,92.02,20828.0,0,0
2013-05,-0.57,24620.0,21770.0,102.56,94.51,20828.0,0,0
2013-06,-0.09,24620.0,21770.0,102.92,95.77,20846.91,0,0
2013-07,1.34,24837.74,21770.0,107.93,104.67,21036.0,0,0
2013-08,1.11,24973.23,21944.19,111.28,106.57,21036.0,0,0
2013-09,-0.24,24770.0,22310.0,111.6,106.29,21036.0,0,0
2013-10,-0.17,24770.0,22310.0,109.08,100.54,21036.0,0,0
2013-11,-0.34,24770.0,22310.0,107.79,93.86,21036.0,0,0
2013-12,-0.23,24742.9,22310.0,110.76,97.63,21036.0,0,0
2014-01,1.22,24710.0,22363.23,108.12,94.62,21036.0,1,0
2014-02,0.66,24795.71,22633.93,108.9,100.82,21036.0,0,0
2014-03,-0.03,25085.48,22791.61,107.48,100.8,21036.0,0,0
2014-04,0.33,25253.0,22591.0,107.76,102.07,21036.0,0,0
2014-05,0.36,25400.0,22680.0,109.54,102.18,21036.0,0,0
2014-06,0.18,25488.0,22585.0,111.8,105.79,21127.3,0,0
2014-07,0.44,26018.06,22655.48,106.77,103.59,21246.0,0,0
2014-08,-0.06,25170.97,22149.35,101.61,96.54,21246.0,0,0
2014-09,-1.85,24313.0,21692.0,97.09,93.21,21246.0,0,0
2014-10,-1.02,23589.68,20441.29,87.43,84.4,21246.0,0,0
2014-11,-2.75,22313.0,19167.0,79.44,75.79,21246.0,0,0
2014-12,-3.09,19920.32,18650.0,62.34,59.29,21246.0,0,0
2015-01,-3.96,17695.81,18650.0,47.76,47.22,21431.5,0,0
2015-02,-4.41,16270.0,18650.0,58.1,50.58,21458.0,1,0
2015-03,-0.31,17360.65,18650.0,55.89,47.82,21458.0,0,0
2015-04,2.47,17880.0,18650.0,59.52,54.45,21458.0,0,0
2015-05,1.02,20042.9,17844.52,64.08,59.27,21635.61,0,0
2015-06,3.54,21142.0,16362.0,61.48,59.82,21673.0,0,0
2015-07,0.16,20911.29,16360.0,56.56,50.9,21673.0,0,0
2015-08,-2.12,19656.45,16360.0,46.52,42.87,21764.81,0,0
2015-09,-3.17,18278.67,16360.0,47.62,45.48,21890.0,0,0
2015-10,-0.05,18705.81,16360.0,48.43,46.22,21890.0,0,0
2015-11,-0.38,17981.33,16360.0,44.27,42.44,21890.0,0,0
2015-12,-1.57,17342.26,16360.0,38.01,37.19,21890.0,0,0
2016-01,-2.82,16518.39,16360.0,30.7,31.68,21904.48,0,0
2016-02,-3.96,15063.1,16360.0,32.18,30.32,21888.11,1,0
2016-03,-3.64,14687.74,16360.0,38.21,37.55,21874.78,0,0
2016-04,1.73,15120.0,14163.67,41.58,40.75,21853.13,0,0
2016-05,2.39,15120.0,10370.0,46.74,46.71,21891.12,0,0
2016-06,2.99,15120.0,10370.0,48.25,48.76,21876.92,0,0
2016-07,1.19,15120.0,10370.0,44.95,44.65,21872.67,0,0
2016-08,-1.97,15120.0,10370.0,45.84,44.72,21859.48,0,0
2016-09,0.55,15120.0,10370.0,46.57,45.18,21941.96,0,0
2016-10,2.02,15120.0,10370.0,49.52,49.78,22002.36,0,0
2016-11,1.63,15120.0,10370.0,44.73,45.66,22076.75,0,0
2016-12,-0.89,15120.0,10370.0,53.31,51.97,22138.19,0,0
2017-01,3.21,18118.71,13544.52,54.58,52.5,22172.35,1,0
2017-02,0.56,18636.43,14131.43,54.87,53.47,22220.68,0,0
2017-03,0.39,18629.35,14200.97,51.59,49.33,22253.52,0,0
2017-04,-1.38,18219.0,13637.67,52.31,51.06,22320.8,0,0
2017-05,-0.34,18078.71,13495.48,50.33,48.48,22373.04,0,0
2017-06,-0.71,17854.67,13212.33,46.37,45.18,22416.29,0,0
2017-07,-1.52,17106.13,13077.74,48.48,46.63,22438.19,0,0
2017-08,2.13,18050.0,13744.52,51.7,48.04,22442.19,0,0
2017-09,1.51,18766.0,14108.33,56.15,49.82,22446.26,0,0
2017-10,0.61,18859.03,14496.13,57.51,51.58,22464.85,0,0
2017-11,0.68,19174.33,14736.67,62.71,56.64,22451.04,0,0
2017-12,0.84,19480.0,15140.65,64.37,57.88,22437.75,0,0
2018-01,1.17,20333.23,15665.48,69.08,63.7,22410.65,0,0
2018-02,0.79,20465.71,15881.43,65.32,62.23,22439.05,1,0
2018-03,-0.77,20180.0,15710.0,66.02,62.73,22454.44,0,0
2018-04,1.18,20596.0,16323.33,72.11,66.25,22489.71,0,0
2018-05,1.72,21191.61,17187.74,76.98,69.98,22576.29,0,0
2018-06,1.04,21608.0,17621.0,74.41,67.87,22600.21,0,0
2018-07,-0.52,21370.0,17390.97,74.25,70.98,22648.46,0,0
2018-08,0.13,21329.68,17522.26,72.53,68.06,22679.26,0,0
2018-09,0.82,21670.0,18016.67,78.89,70.23,22701.05,0,0
2018-10,1.55,22352.9,18530.97,81.03,70.75,22719.81,0,0
2018-11,-1.81,21036.67,18248.33,64.75,56.96,22731.17,0,0
2018-12,-4.88,18735.16,16383.87,57.36,49.52,22785.28,0,0
2019-01,-3.04,17600.0,14900.0,59.41,51.38,22853.46,0,0
2019-02,0.16,17600.0,14900.0,63.96,54.95,22904.88,1,0
2019-03,2.22,18509.68,15829.03,66.14,58.15,22953.0,0,0
2019-04,4.29,20540.33,17179.33,71.23,63.86,22996.75,0,0
2019-05,2.64,21868.71,17641.29,71.32,60.83,23054.75,0,0
2019-06,-1.73,20706.0,17044.67,64.22,54.66,23060.09,0,0
2019-07,-0.03,20846.13,16954.84,63.92,57.35,23068.54,0,0
2019-08,-0.46,20641.29,16746.13,59.04,54.81,23114.76,0,0
2019-09,-1.24,20185.0,16265.0,62.83,56.95,23142.41,0,0
2019-10,0.99,20909.35,16412.9,59.71,53.96,23154.44,0,0
2019-11,-0.73,20636.0,16002.67,63.21,57.03,23143.46,0,0
2019-12,0.61,20975.48,16038.39,67.31,59.88,23162.6,0,0
2020-01,0.69,20895.16,16536.13,63.65,57.52,23161.16,1,1
2020-02,-2.5,19702.76,15586.9,55.66,50.54,23217.4,0,1
2020-03,-4.87,17441.94,13648.06,32.01,29.21,23220.5,0,1
2020-04,-13.86,12152.0,10904.0,18.38,16.55,23241.75,0,1
2020-05,-2.21,12112.58,9999.68,29.38,28.56,23254.37,0,1
2020-06,6.05,13846.67,11307.67,40.27,38.31,23238.9,0,1
2020-07,3.91,14970.0,12146.13,43.24,40.71,23224.68,0,1
2020-08,0.1,14968.39,12228.71,44.74,42.34,23210.56,0,1
2020-09,-0.12,15023.33,11595.0,40.91,39.63,23204.44,0,1
2020-10,-0.08,15041.29,11134.52,40.19,39.4,23197.65,0,1
2020-11,-0.47,14888.33,11056.67,42.69,40.94,23183.3,0,1
2020-12,2.45,15881.29,11834.52,49.99,47.02,23146.67,0,1
2021-01,2.29,16847.42,12630.32,54.77,52.0,23133.8,0,1
2021-02,1.55,17385.71,13154.29,62.28,59.04,23138.38,1,1
2021-03,2.29,18621.94,14175.48,65.41,62.33,23189.24,0,1
2021-04,0.87,19021.0,14200.67,64.81,61.72,23206.84,0,1
2021-05,0.76,19398.71,14610.32,68.53,65.17,23164.71,0,1
2021-06,1.07,20075.0,15328.33,73.16,71.38,23137.21,0,1
2021-07,2.36,21455.16,16355.16,75.17,72.49,23199.16,0,1
2021-08,-0.06,21573.55,16135.81,70.75,67.73,23163.5,0,1
2021-09,-0.16,21422.0,16024.0,74.49,71.65,23122.88,0,1
2021-10,2.51,22852.58,17456.77,83.54,81.48,23160.42,0,1
2021-11,3.11,24574.0,18644.0,81.05,79.15,23122.48,0,0
2021-12,-1.71,23230.0,17689.03,74.17,71.71,23190.65,0,0
2022-01,1.18,23856.77,18254.84,86.51,83.22,23105.25,0,0
2022-02,2.35,25251.43,19785.71,97.13,91.64,23117.0,1,0
2022-03,4.8,28631.94,23407.42,117.25,108.5,23155.8,0,0
2022-04,-0.59,27844.67,24960.0,104.58,101.78,23108.68,0,0
2022-05,2.34,29631.94,25951.94,113.34,109.55,23136.53,0,0
2022-06,3.62,32216.67,28298.0,122.71,114.84,23078.5,0,0
2022-07,-2.85,29389.35,26946.77,111.93,101.62,23185.7,0,0
2022-08,-5.51,24963.23,23496.77,100.45,93.67,23185.3,0,0
2022-09,-2.23,23431.33,23806.0,89.76,84.26,23282.17,0,0
2022-10,-2.17,22013.55,23775.48,93.33,87.55,23553.44,0,0
2022-11,2.23,23463.33,24950.0,91.42,84.37,23681.72,0,0
2022-12,-2.78,21554.84,22191.61,80.92,76.44,23650.32,0,0
2023-01,1.39,22191.29,21855.16,82.5,78.12,23603.8,1,0
2023-02,2.11,23402.86,21754.29,82.59,76.83,23629.14,0,0
2023-03,-0.16,23343.55,19977.42,78.43,73.28,23625.52,0,0
2023-04,0.43,23657.33,19644.67,84.64,79.45,23612.4,0,0
2023-05,-2.98,21710.65,18050.65,75.47,71.58,23653.5,0,0
2023-06,0.16,22010.0,18040.67,74.84,70.25,23714.05,0,0
2023-07,0.11,21966.77,18781.29,80.11,76.07,23765.32,0,0
2023-08,3.85,24196.77,21811.29,86.15,81.39,23867.9,0,0
2023-09,1.21,25124.0,23054.67,93.72,89.43,24018.11,0,0
2023-10,-1.51,23649.68,22790.65,90.6,85.64,24084.59,0,0
2023-11,-0.01,23549.0,21141.0,82.94,77.69,23996.1,0,0
2023-12,-1.88,22178.06,19613.23,77.63,71.9,23927.2,0,0
2024-01,0.41,22401.94,19892.9,80.12,74.15,23979.5,0,0
2024-02,3.09,23736.55,20982.41,83.48,77.25,23969.84,1,0
2024-03,-0.03,23946.77,20694.19,85.41,81.28,23996.65,0,0
2024-04,1.95,24941.67,21145.67,89.94,85.35,24131.62,0,0
2024-05,-1.73,23669.03,20037.74,81.75,80.02,24253.4,0,0
2024-06,-2.27,22373.67,19912.0,82.25,79.77,24251.25,0,0
2024-07,1.45,23201.94,20673.23,85.15,81.8,24252.25,0,0
2024-08,-1.98,21784.19,19176.77,80.36,76.68,24251.7,0,0
2024-09,-2.77,20280.67,17580.33,74.02,70.24,24170.39,0,0
2024-10,0.66,20660.97,18033.23,75.63,71.99,24189.63,0,0
2024-11,-0.07,20644.67,18567.0,74.35,69.95,24280.47,0,0
2024-12,0.57,20730.38,18508.85,73.86,70.12,24273.95,0,0
