ngay,gio,vung,mat_hang,don_vi,gia_moi,gia_cu,thay_doi,nguon,url
07/03/2012,16:00,Vùng 1,- Xăng không chì RON 95:,Đồng/lít,23400,22900.0,+5,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_16_gio_00_ngay_07_thang_3_nam_2012.html
07/03/2012,16:00,Vùng 1,Dầu hoả dân dụng,Đồng/lít,20800,,,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_16_gio_00_ngay_07_thang_3_nam_2012.html
07/03/2012,16:00,Vùng 1,Xăng RON 92,Đồng/lít,22900,,,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_16_gio_00_ngay_07_thang_3_nam_2012.html
07/03/2012,16:00,Vùng 1,Xăng RON 95,Đồng/lít,23400,,,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_16_gio_00_ngay_07_thang_3_nam_2012.html
07/03/2012,16:00,Vùng 1,"Điêzen 0,05S",Đồng/lít,21400,,,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_16_gio_00_ngay_07_thang_3_nam_2012.html
07/03/2012,16:00,Vùng 1,"Điêzen 0,25S",Đồng/lít,21350,,,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_16_gio_00_ngay_07_thang_3_nam_2012.html
09/05/2012,22:00,Vùng 1,Việc điều chỉnh giá xăng dầu lần này của Tập đoàn Xăng dầu Việt Nam được thực hiện theo Nghị định,Đồng/lít,2009,,,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_22_gio_00_ngay_09_thang_5_nam_2012.html
09/05/2012,22:00,Vùng 1,Xăng RON 92,Đồng/lít,23300,22900.0,+400,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_22_gio_00_ngay_09_thang_5_nam_2012.html
09/05/2012,22:00,Vùng 1,Xăng RON 95,Đồng/lít,23800,23400.0,+400,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_22_gio_00_ngay_09_thang_5_nam_2012.html
09/05/2012,22:00,Vùng 1,Điêzen,Đồng/lít,5,,,Petrolimex,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/tap_doan_xang_dau_viet_nam_dieu_chinh_gia_cac_mat_hang_xang_dau_tu_22_gio_00_ngay_09_thang_5_nam_2012.html
