Date,"Dầu DO 0,001S-V","Dầu DO 0,005S-IV","Dầu DO 0,05S-II",Dầu FO 3%S,"Dầu FO 3,5%S",Dầu KO,Xăng E10 RON 95-III,Xăng E5 RON 92-II,Xăng RON 95-III,Xăng RON 95-IV
8/22/2018,,17730,17680,0,0,16260,,19610,21170,21370
9/6/2018,,18110,18060,0,0,16550,,19910,21470,21670
9/21/2018,,18170,18120,0,0,16680,,20230,21770,21970
10/6/2018,,18660,18610,0,0,17080,,20900,22340,22540
10/22/2018,,18660,18610,0,0,17080,,20680,22200,22400
11/6/2018,,18590,18540,0,0,17080,,19600,21060,21260
11/21/2018,,17680,17630,0,0,16240,,18620,19970,20170
12/6/2018,,16300,16250,0,0,15250,,17180,18450,18650
12/21/2018,,16050,16000,0,0,15000,,16780,18140,18340
1/1/2019,,14950,14900,0,0,14180,,16270,17600,17800
1/16/2019,,,14900,0,0,14180,,16270,17600,
1/31/2019,,,14900,0,0,14180,,16270,17600,
2/15/2019,,,14900,0,0,14180,,16270,17600,
3/2/2019,,,15860,0,0,14880,,17210,18540,
3/18/2019,,,15860,0,0,14880,,17210,18540,
4/2/2019,,,17080,0,0,15970,,18580,20030,
4/17/2019,,,17380,0,0,16260,,19700,21230,
5/2/2019,,,17690,0,0,16620,,20680,22190,
5/17/2019,,,17610,0,0,16420,,20480,21590,
6/1/2019,,,17390,0,0,16220,,20210,21210,
6/17/2019,,,16650,0,0,15610,,19230,20130,
7/2/2019,,,16940,0,0,15930,,19650,20510,
7/17/2019,,,16990,0,0,15950,,20270,21230,
8/1/2019,,,17020,0,0,15960,,19900,20910,
8/16/2019,,,16500,0,0,15390,,19350,20400,
8/31/2019,,,16330,0,0,15320,,19220,20230,
9/16/2019,,,16200,0,0,15360,,19110,20140,
10/1/2019,,,16630,0,0,15780,,19780,21060,
10/16/2019,,,16220,0,0,15250,,19470,20790,
10/31/2019,,,16050,0,0,15130,,19250,20440,
11/15/2019,,,15960,0,0,14960,,19500,20790,
11/30/2019,,,15980,0,0,14960,,19810,21070,
12/16/2019,,,16060,,,15010,,19720,20880,
12/31/2019,,,16590,,,15580,,19880,20990,
1/15/2020,,,16540,,,15530,,19840,20910,
1/30/2020,,,16130,,,15060,,19260,20120,
2/14/2020,,,15170,,,13950,,18500,19380,
2/29/2020,,,14780,,,13670,,18340,19120,
3/15/2020,,,13030,,,11840,,16050,16810,
3/29/2020,,,11250,,,9140,,11950,12560,
4/13/2020,,,10820,,,8630,,11340,11930,
4/28/2020,,,9940,,,7960,,10940,11630,
5/13/2020,,,9850,,,7880,,11520,12230,
5/28/2020,,,10740,,,8750,,12400,13120,
6/12/2020,,,11510,,,9610,,13390,14080,
6/27/2020,,,12110,,,10030,,14250,14970,
7/13/2020,,,12110,,,10030,,14250,14970,
